char,name,replacement,codepoint,mufidecode
z,LATIN SMALL LETTER Z,z,007A,z
Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,Ë,00CB,E
7,DIGIT SEVEN,7,0037,7
3,DIGIT THREE,3,0033,3
0,DIGIT ZERO,0,0030,0
ï,LATIN SMALL LETTER I WITH DIAERESIS,ï,00EF,i
r,LATIN SMALL LETTER R,r,0072,r
[,LEFT SQUARE BRACKET,[,005B,[
n,LATIN SMALL LETTER N,n,006E,n
A,LATIN CAPITAL LETTER A,A,0041,A
o,LATIN SMALL LETTER O,o,006F,o
H,LATIN CAPITAL LETTER H,H,0048,H
8,DIGIT EIGHT,8,0038,8
L,LATIN CAPITAL LETTER L,L,004C,L
f,LATIN SMALL LETTER F,f,0066,f
Ç,LATIN CAPITAL LETTER C WITH CEDILLA,Ç,00C7,C
u,LATIN SMALL LETTER U,u,0075,u
Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,Ê,00CA,E
2,DIGIT TWO,2,0032,2
e,LATIN SMALL LETTER E,e,0065,e
N,LATIN CAPITAL LETTER N,N,004E,N
ĵ,LATIN SMALL LETTER J WITH CIRCUMFLEX,ĵ,0135,j
Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,Â,00C2,A
D,LATIN CAPITAL LETTER D,D,0044,D
5,DIGIT FIVE,5,0035,5
ç,LATIN SMALL LETTER C WITH CEDILLA,ç,00E7,c
b,LATIN SMALL LETTER B,b,0062,b
R,LATIN CAPITAL LETTER R,R,0052,R
O,LATIN CAPITAL LETTER O,O,004F,O
q,LATIN SMALL LETTER Q,q,0071,q
],RIGHT SQUARE BRACKET,],005D,]
B,LATIN CAPITAL LETTER B,B,0042,B
"""",QUOTATION MARK,"""",0022,""""
<,LESS-THAN SIGN,<,003C,<
è,LATIN SMALL LETTER E WITH GRAVE,è,00E8,e
T,LATIN CAPITAL LETTER T,T,0054,T
(,LEFT PARENTHESIS,(,0028,(
:,COLON,:,003A,:
-,HYPHEN-MINUS,-,002D,-
V,LATIN CAPITAL LETTER V,V,0056,V
Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,Û,00DB,U
Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,Ĥ,0124,H
=,EQUALS SIGN,=,003D,=
F,LATIN CAPITAL LETTER F,F,0046,F
x,LATIN SMALL LETTER X,x,0078,x
W,LATIN CAPITAL LETTER W,W,0057,W
v,LATIN SMALL LETTER V,v,0076,v
ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,ô,00F4,o
→,RIGHTWARDS ARROW,→,2192,-
{,LEFT CURLY BRACKET,{,007B,{
È,LATIN CAPITAL LETTER E WITH GRAVE,È,00C8,E
d,LATIN SMALL LETTER D,d,0064,d
’,RIGHT SINGLE QUOTATION MARK,',2019,'
X,LATIN CAPITAL LETTER X,X,0058,X
Ï,LATIN CAPITAL LETTER I WITH DIAERESIS,Ï,00CF,I
â,LATIN SMALL LETTER A WITH CIRCUMFLEX,â,00E2,a
9,DIGIT NINE,9,0039,9
s,LATIN SMALL LETTER S,s,0073,s
Y,LATIN CAPITAL LETTER Y,Y,0059,Y
U,LATIN CAPITAL LETTER U,U,0055,U
ë,LATIN SMALL LETTER E WITH DIAERESIS,ë,00EB,e
Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,Ô,00D4,O
1,DIGIT ONE,1,0031,1
S,LATIN CAPITAL LETTER S,S,0053,S
–,EN DASH,-,2013,
û,LATIN SMALL LETTER U WITH CIRCUMFLEX,û,00FB,u
p,LATIN SMALL LETTER P,p,0070,p
°,DEGREE SIGN,°,00B0,*
À,LATIN CAPITAL LETTER A WITH GRAVE,À,00C0,A
+,PLUS SIGN,+,002B,+
~,TILDE,~,007E,~
P,LATIN CAPITAL LETTER P,P,0050,P
',APOSTROPHE,',0027,'
à,LATIN SMALL LETTER A WITH GRAVE,à,00E0,a
é,LATIN SMALL LETTER E WITH ACUTE,é,00E9,e
C,LATIN CAPITAL LETTER C,C,0043,C
Z,LATIN CAPITAL LETTER Z,Z,005A,Z
Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,Ĵ,0134,J
a,LATIN SMALL LETTER A,a,0061,a
ù,LATIN SMALL LETTER U WITH GRAVE,ù,00F9,u
K,LATIN CAPITAL LETTER K,K,004B,K
E,LATIN CAPITAL LETTER E,E,0045,E
j,LATIN SMALL LETTER J,j,006A,j
!,EXCLAMATION MARK,!,0021,!
t,LATIN SMALL LETTER T,t,0074,t
k,LATIN SMALL LETTER K,k,006B,k
