char,name,replacement,codepoint,mufidecode
Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,,00D4,O
J,LATIN CAPITAL LETTER J,,004A,J
û,LATIN SMALL LETTER U WITH CIRCUMFLEX,,00FB,u
{,LEFT CURLY BRACKET,,007B,{
œ,LATIN SMALL LIGATURE OE,oe,0153,oe
=,EQUALS SIGN,,003D,=
.,FULL STOP,,002E,.
Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,,00C2,A
Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,,0108,C
4,DIGIT FOUR,,0034,4
n,LATIN SMALL LETTER N,,006E,n
E,LATIN CAPITAL LETTER E,,0045,E
O,LATIN CAPITAL LETTER O,,004F,O
x,LATIN SMALL LETTER X,,0078,x
3,DIGIT THREE,,0033,3
S,LATIN CAPITAL LETTER S,,0053,S
-,HYPHEN-MINUS,,002D,-
b,LATIN SMALL LETTER B,,0062,b
",",COMMA,,002C,","
v,LATIN SMALL LETTER V,,0076,v
i,LATIN SMALL LETTER I,,0069,i
Ç,LATIN CAPITAL LETTER C WITH CEDILLA,,00C7,C
',APOSTROPHE,,0027,'
Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,,015C,S
L,LATIN CAPITAL LETTER L,,004C,L
ï,LATIN SMALL LETTER I WITH DIAERESIS,,00EF,i
é,LATIN SMALL LETTER E WITH ACUTE,,00E9,e
h,LATIN SMALL LETTER H,,0068,h
È,LATIN CAPITAL LETTER E WITH GRAVE,,00C8,E
è,LATIN SMALL LETTER E WITH GRAVE,,00E8,e
ù,LATIN SMALL LETTER U WITH GRAVE,,00F9,u
D,LATIN CAPITAL LETTER D,,0044,D
ç,LATIN SMALL LETTER C WITH CEDILLA,,00E7,c
;,SEMICOLON,,003B,;
(,LEFT PARENTHESIS,,0028,(
M,LATIN CAPITAL LETTER M,,004D,M
→,RIGHTWARDS ARROW,,2192,-
Ù,LATIN CAPITAL LETTER U WITH GRAVE,,00D9,U
Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,,00CB,E
ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,,00F4,o
ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,,00EA,e
Ŭ,LATIN CAPITAL LETTER U WITH BREVE,,016C,U
f,LATIN SMALL LETTER F,,0066,f
Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,,00DB,U
A,LATIN CAPITAL LETTER A,,0041,A
z,LATIN SMALL LETTER Z,,007A,z
],RIGHT SQUARE BRACKET,,005D,]
^,CIRCUMFLEX ACCENT,,005E,^
Q,LATIN CAPITAL LETTER Q,,0051,Q
6,DIGIT SIX,,0036,6
̈,COMBINING DIAERESIS,,0308,
â,LATIN SMALL LETTER A WITH CIRCUMFLEX,,00E2,a
g,LATIN SMALL LETTER G,,0067,g
~,TILDE,,007E,~
[,LEFT SQUARE BRACKET,,005B,[
À,LATIN CAPITAL LETTER A WITH GRAVE,,00C0,A
C,LATIN CAPITAL LETTER C,,0043,C
́,COMBINING ACUTE ACCENT,,0301,
s,LATIN SMALL LETTER S,,0073,s
̂,COMBINING CIRCUMFLEX ACCENT,,0302,
8,DIGIT EIGHT,,0038,8
N,LATIN CAPITAL LETTER N,,004E,N
7,DIGIT SEVEN,,0037,7
o,LATIN SMALL LETTER O,,006F,o
Y,LATIN CAPITAL LETTER Y,,0059,Y
1,DIGIT ONE,,0031,1
ĵ,LATIN SMALL LETTER J WITH CIRCUMFLEX,,0135,j
î,LATIN SMALL LETTER I WITH CIRCUMFLEX,,00EE,i
